Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Portal,North Dakota,3403,US-Canada Border,05-2022,Train Passengers,340,48.999,-102.552,POINT (-102.551944 48.998944)
Highgate Springs,Vermont,212,US-Canada Border,02-2020,Rail Containers Loaded,840,45.015,-73.085,POINT (-73.085037 45.015414)
Richford,Vermont,203,US-Canada Border,09-2019,Trucks,355,45.012,-72.589,POINT (-72.588559 45.01174)
Raymond,Montana,3301,US-Canada Border,03-2019,Trucks,1538,48.999,-104.574,POINT (-104.574333 48.999194)
Del Rio,Texas,2302,US-Mexico Border,03-2019,Trucks,6706,29.327,-100.928,POINT (-100.927612 29.326784)
Boundary,Washington,3015,US-Canada Border,08-2020,Rail Containers Loaded,626,49.001,-117.628,POINT (-117.627583 49.00075)
Sault Sainte Marie,Michigan,3803,US-Canada Border,08-2019,Buses,92,46.509,-84.361,POINT (-84.360833 46.508611)
Santa Teresa,New Mexico,2408,US-Mexico Border,01-2021,Buses,3,31.784,-106.679,POINT (-106.679437 31.783939)
Jackman,Maine,104,US-Canada Border,09-2021,Train Passengers,62,45.806,-70.397,POINT (-70.396722 45.805661)
El Paso,Texas,2402,US-Mexico Border,04-2020,Rail Containers Loaded,1114,31.764,-106.451,POINT (-106.451188 31.764363)
Ysleta,Texas,2401,US-Mexico Border,03-2020,Personal Vehicle Passengers,413216,31.673,-106.335,POINT (-106.335449846028 31.6731261376859)
Trout River,New York,715,US-Canada Border,06-2022,Trucks,1240,44.992,-74.308,POINT (-74.308172 44.992058)
Sherwood,North Dakota,3414,US-Canada Border,08-2021,Truck Containers Empty,216,48.999,-101.628,POINT (-101.627527 48.999305)
Calais,Maine,115,US-Canada Border,01-1998,Trains,16,45.189,-67.275,POINT (-67.275381 45.188548)
Westhope,North Dakota,3419,US-Canada Border,08-2020,Truck Containers Empty,271,49.0,-101.017,POINT (-101.017277 48.999611)
Brownsville,Texas,2301,US-Mexico Border,02-2020,Rail Containers Empty,7226,25.952,-97.401,POINT (-97.40067 25.95155)
Del Rio,Texas,2302,US-Mexico Border,08-2009,Buses,0,29.327,-100.928,POINT (-100.927612 29.326784)
Roma,Texas,2310,US-Mexico Border,10-2008,Train Passengers,0,26.404,-99.019,POINT (-99.018981 26.403928)
Danville,Washington,3012,US-Canada Border,08-2022,Truck Containers Empty,9,49.0,-118.504,POINT (-118.503722 49.000083)
Algonac,Michigan,3814,US-Canada Border,07-2019,Personal Vehicles,5311,42.618,-82.531,POINT (-82.5311 42.6183)
Brownsville,Texas,2301,US-Mexico Border,03-2021,Truck Containers Loaded,11459,25.952,-97.401,POINT (-97.40067 25.95155)
Alexandria Bay,New York,708,US-Canada Border,07-2019,Personal Vehicle Passengers,176357,44.347,-75.984,POINT (-75.983592 44.347229)
Port Huron,Michigan,3802,US-Canada Border,09-2020,Rail Containers Empty,13558,42.999,-82.424,POINT (-82.423611 42.998611)
Wildhorse,Montana,3323,US-Canada Border,07-2021,Personal Vehicles,142,48.999,-110.215,POINT (-110.215083 48.999361)
Eastport,Maine,103,US-Canada Border,03-2019,Personal Vehicle Passengers,12108,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Eagle Pass,Texas,2303,US-Mexico Border,06-2021,Rail Containers Loaded,13738,28.705,-100.512,POINT (-100.511977 28.705483)
Wildhorse,Montana,3323,US-Canada Border,04-2019,Personal Vehicle Passengers,1562,48.999,-110.215,POINT (-110.215083 48.999361)
Ysleta,Texas,2401,US-Mexico Border,07-2022,Personal Vehicles,277857,31.673,-106.335,POINT (-106.335449846028 31.6731261376859)
Buffalo Niagara Falls,New York,901,US-Canada Border,05-2022,Train Passengers,379,43.095,-79.056,POINT (-79.055847 43.09549)
Frontier,Washington,3020,US-Canada Border,01-2022,Personal Vehicles,1105,49.0,-117.832,POINT (-117.831527 49.0005)
