Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Calais,Maine,115,US-Canada Border,08-2022,Trucks,6175,45.189,-67.275,POINT (-67.275381 45.188548)
Warroad,Minnesota,3423,US-Canada Border,05-2016,Buses,52,48.999,-95.377,POINT (-95.376555 48.999)
Laredo,Texas,2304,US-Mexico Border,03-2020,Trucks,203861,27.5,-99.507,POINT (-99.507412 27.499561)
Scobey,Montana,3309,US-Canada Border,07-2020,Trucks,81,49.0,-105.408,POINT (-105.407638 48.999527)
Madawaska,Maine,109,US-Canada Border,10-2019,Trucks,187,47.36,-68.329,POINT (-68.328684 47.360052)
Laredo,Texas,2304,US-Mexico Border,04-1998,Buses,2118,27.5,-99.507,POINT (-99.507412 27.499561)
Del Rio,Texas,2302,US-Mexico Border,05-2020,Trucks,3843,29.327,-100.928,POINT (-100.927612 29.326784)
Sherwood,North Dakota,3414,US-Canada Border,08-2021,Trucks,247,48.999,-101.628,POINT (-101.627527 48.999305)
Beecher Falls,Vermont,206,US-Canada Border,01-2022,Trucks,812,45.013,-71.505,POINT (-71.505309 45.013411)
Roma,Texas,2310,US-Mexico Border,09-2020,Trucks,2212,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,06-2022,Buses,21,26.404,-99.019,POINT (-99.018981 26.403928)
Progreso,Texas,2309,US-Mexico Border,11-2020,Trucks,4165,26.062,-97.95,POINT (-97.949958 26.062133)
Laredo,Texas,2304,US-Mexico Border,11-2021,Trucks,221978,27.5,-99.507,POINT (-99.507412 27.499561)
Lukeville,Arizona,2602,US-Mexico Border,04-2022,Buses,46,31.88,-112.817,POINT (-112.817077 31.880195)
Roma,Texas,2310,US-Mexico Border,04-2019,Trucks,893,26.404,-99.019,POINT (-99.018981 26.403928)
Madawaska,Maine,109,US-Canada Border,02-2001,Buses,11,47.36,-68.329,POINT (-68.328684 47.360052)
Laredo,Texas,2304,US-Mexico Border,04-2020,Buses,1122,27.5,-99.507,POINT (-99.507412 27.499561)
Turner,Montana,3306,US-Canada Border,04-2001,Trains,0,49.0,-108.388,POINT (-108.387916 48.999527)
Scobey,Montana,3309,US-Canada Border,12-2012,Trains,0,49.0,-105.408,POINT (-105.407638 48.999527)
Del Rio,Texas,2302,US-Mexico Border,01-2020,Trucks,6256,29.327,-100.928,POINT (-100.927612 29.326784)
Morgan,Montana,3319,US-Canada Border,03-2022,Trucks,40,49.0,-107.832,POINT (-107.831819 48.999829)
Roma,Texas,2310,US-Mexico Border,01-2021,Bus Passengers,64,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,02-2015,Trucks,611,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,11-2019,Trucks,1210,26.404,-99.019,POINT (-99.018981 26.403928)
Calais,Maine,115,US-Canada Border,05-2015,Trucks,5686,45.189,-67.275,POINT (-67.275381 45.188548)
Laredo,Texas,2304,US-Mexico Border,05-2019,Trains,379,27.5,-99.507,POINT (-99.507412 27.499561)
Raymond,Montana,3301,US-Canada Border,11-1999,Trucks,1407,48.999,-104.574,POINT (-104.574333 48.999194)
Ferry,Washington,3013,US-Canada Border,02-2019,Trucks,4,49.0,-118.761,POINT (-118.761166 49.000083)
Antler,North Dakota,3413,US-Canada Border,12-2020,Trucks,154,48.999,-101.296,POINT (-101.296055 48.999472)
Roma,Texas,2310,US-Mexico Border,11-2021,Trucks,3021,26.404,-99.019,POINT (-99.018981 26.403928)
Houlton,Maine,106,US-Canada Border,08-2020,Trucks,7139,46.135,-67.781,POINT (-67.781288 46.134879)
Calais,Maine,115,US-Canada Border,09-2019,Buses,34,45.189,-67.275,POINT (-67.275381 45.188548)
Laredo,Texas,2304,US-Mexico Border,11-2020,Trucks,212898,27.5,-99.507,POINT (-99.507412 27.499561)
Roma,Texas,2310,US-Mexico Border,02-2014,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Sweetgrass,Montana,3310,US-Canada Border,02-2020,Trains,31,48.998,-111.96,POINT (-111.959611 48.998388)
Roma,Texas,2310,US-Mexico Border,02-1997,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,11-2016,Trucks,649,26.404,-99.019,POINT (-99.018981 26.403928)
Turner,Montana,3306,US-Canada Border,12-2019,Bus Passengers,230,49.0,-108.388,POINT (-108.387916 48.999527)
Morgan,Montana,3319,US-Canada Border,05-1998,Trains,0,49.0,-107.832,POINT (-107.831819 48.999829)
Warroad,Minnesota,3423,US-Canada Border,06-2003,Buses,86,48.999,-95.377,POINT (-95.376555 48.999)
Alcan,Alaska,3104,US-Canada Border,03-1999,Pedestrians,0,62.615,-141.001,POINT (-141.001444 62.614961)
Detroit,Michigan,3801,US-Canada Border,02-2021,Trains,128,42.332,-83.048,POINT (-83.047924 42.331685)
Laredo,Texas,2304,US-Mexico Border,01-2022,Trains,369,27.5,-99.507,POINT (-99.507412 27.499561)
Turner,Montana,3306,US-Canada Border,02-2020,Buses,1,49.0,-108.388,POINT (-108.387916 48.999527)
Wildhorse,Montana,3323,US-Canada Border,08-2019,Trucks,208,48.999,-110.215,POINT (-110.215083 48.999361)
Roma,Texas,2310,US-Mexico Border,07-2022,Buses,18,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,10-2020,Bus Passengers,35,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,01-2007,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Scobey,Montana,3309,US-Canada Border,07-1998,Buses,0,49.0,-105.408,POINT (-105.407638 48.999527)
Columbus,New Mexico,2406,US-Mexico Border,07-2022,Trucks,2565,31.784,-107.628,POINT (-107.627948 31.783742)
Hansboro,North Dakota,3415,US-Canada Border,05-2021,Trucks,5,49.0,-99.347,POINT (-99.346527 48.999583)
Roma,Texas,2310,US-Mexico Border,05-1996,Trucks,1292,26.404,-99.019,POINT (-99.018981 26.403928)
Turner,Montana,3306,US-Canada Border,09-2014,Buses,14,49.0,-108.388,POINT (-108.387916 48.999527)
Warroad,Minnesota,3423,US-Canada Border,03-2022,Bus Passengers,131,48.999,-95.377,POINT (-95.376555 48.999)
Douglas,Arizona,2601,US-Mexico Border,06-2021,Trucks,2570,31.334,-109.56,POINT (-109.560344 31.334043)
Calais,Maine,115,US-Canada Border,08-2019,Buses,30,45.189,-67.275,POINT (-67.275381 45.188548)
Roma,Texas,2310,US-Mexico Border,08-2021,Buses,14,26.404,-99.019,POINT (-99.018981 26.403928)
Warroad,Minnesota,3423,US-Canada Border,12-2015,Trains,300,48.999,-95.377,POINT (-95.376555 48.999)
Roma,Texas,2310,US-Mexico Border,12-2020,Trucks,2352,26.404,-99.019,POINT (-99.018981 26.403928)
Turner,Montana,3306,US-Canada Border,03-2020,Trucks,17,49.0,-108.388,POINT (-108.387916 48.999527)
Alcan,Alaska,3104,US-Canada Border,07-2019,Buses,67,62.615,-141.001,POINT (-141.001444 62.614961)
Roma,Texas,2310,US-Mexico Border,03-2019,Buses,38,26.404,-99.019,POINT (-99.018981 26.403928)
Calais,Maine,115,US-Canada Border,12-2017,Trains,15,45.189,-67.275,POINT (-67.275381 45.188548)
Roma,Texas,2310,US-Mexico Border,02-2018,Bus Passengers,387,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,09-2018,Trucks,755,26.404,-99.019,POINT (-99.018981 26.403928)
Warroad,Minnesota,3423,US-Canada Border,11-2016,Trains,316,48.999,-95.377,POINT (-95.376555 48.999)
Warroad,Minnesota,3423,US-Canada Border,05-2018,Trucks,469,48.999,-95.377,POINT (-95.376555 48.999)
Laredo,Texas,2304,US-Mexico Border,05-2018,Trucks,200723,27.5,-99.507,POINT (-99.507412 27.499561)
Scobey,Montana,3309,US-Canada Border,02-2017,Trucks,64,49.0,-105.408,POINT (-105.407638 48.999527)
Skagway,Alaska,3103,US-Canada Border,08-2017,Buses,3027,59.63,-135.164,POINT (-135.164444 59.629722)
Portland,Maine,101,US-Canada Border,09-2016,Buses,2,43.659,-70.243,POINT (-70.243056 43.659444)
Morgan,Montana,3319,US-Canada Border,08-2017,Bus Passengers,31,49.0,-107.832,POINT (-107.831819 48.999829)
Warroad,Minnesota,3423,US-Canada Border,08-2018,Buses,2,48.999,-95.377,POINT (-95.376555 48.999)
Wildhorse,Montana,3323,US-Canada Border,08-2016,Bus Passengers,19,48.999,-110.215,POINT (-110.215083 48.999361)
Morgan,Montana,3319,US-Canada Border,06-2017,Buses,1,49.0,-107.832,POINT (-107.831819 48.999829)
Del Bonita,Montana,3322,US-Canada Border,06-2016,Trucks,7,48.999,-112.788,POINT (-112.78825 48.998555)
Calais,Maine,115,US-Canada Border,10-2017,Buses,22,45.189,-67.275,POINT (-67.275381 45.188548)
Morgan,Montana,3319,US-Canada Border,06-2016,Personal Vehicles,710,49.0,-107.832,POINT (-107.831819 48.999829)
Brownsville,Texas,2301,US-Mexico Border,09-2018,Trains,76,25.952,-97.401,POINT (-97.40067 25.95155)
Warroad,Minnesota,3423,US-Canada Border,02-2019,Trucks,546,48.999,-95.377,POINT (-95.376555 48.999)
Roma,Texas,2310,US-Mexico Border,08-2018,Buses,33,26.404,-99.019,POINT (-99.018981 26.403928)
Calais,Maine,115,US-Canada Border,12-2016,Trucks,4755,45.189,-67.275,POINT (-67.275381 45.188548)
Madawaska,Maine,109,US-Canada Border,02-2019,Buses,6,47.36,-68.329,POINT (-68.328684 47.360052)
Roma,Texas,2310,US-Mexico Border,03-2018,Trucks,622,26.404,-99.019,POINT (-99.018981 26.403928)
Del Rio,Texas,2302,US-Mexico Border,07-2016,Trucks,5649,29.327,-100.928,POINT (-100.927612 29.326784)
Richford,Vermont,203,US-Canada Border,08-2016,Trains,12,45.012,-72.589,POINT (-72.588559 45.01174)
Blaine,Washington,3004,US-Canada Border,09-2016,Trains,183,48.994,-122.749,POINT (-122.748884 48.994045)
Laredo,Texas,2304,US-Mexico Border,06-2018,Trucks,193582,27.5,-99.507,POINT (-99.507412 27.499561)
Massena,New York,704,US-Canada Border,06-2016,Trains,0,44.991,-74.74,POINT (-74.739722 44.990556)
Scobey,Montana,3309,US-Canada Border,02-2018,Trucks,41,49.0,-105.408,POINT (-105.407638 48.999527)
Roma,Texas,2310,US-Mexico Border,06-2016,Trucks,624,26.404,-99.019,POINT (-99.018981 26.403928)
Antler,North Dakota,3413,US-Canada Border,09-2017,Trucks,448,48.999,-101.296,POINT (-101.296055 48.999472)
Laredo,Texas,2304,US-Mexico Border,08-2016,Trains,324,27.5,-99.507,POINT (-99.507412 27.499561)
Wildhorse,Montana,3323,US-Canada Border,10-2016,Buses,0,48.999,-110.215,POINT (-110.215083 48.999361)
Roma,Texas,2310,US-Mexico Border,11-2017,Buses,33,26.404,-99.019,POINT (-99.018981 26.403928)
Scobey,Montana,3309,US-Canada Border,07-2018,Trucks,6,49.0,-105.408,POINT (-105.407638 48.999527)
Laredo,Texas,2304,US-Mexico Border,09-2016,Trucks,177065,27.5,-99.507,POINT (-99.507412 27.499561)
Scobey,Montana,3309,US-Canada Border,10-2018,Trucks,23,49.0,-105.408,POINT (-105.407638 48.999527)
Presidio,Texas,2403,US-Mexico Border,07-2017,Buses,36,29.562,-104.395,POINT (-104.394907 29.561827)
Alcan,Alaska,3104,US-Canada Border,01-2017,Buses,0,62.615,-141.001,POINT (-141.001444 62.614961)
Warroad,Minnesota,3423,US-Canada Border,02-2017,Buses,53,48.999,-95.377,POINT (-95.376555 48.999)
Morgan,Montana,3319,US-Canada Border,10-2016,Buses,0,49.0,-107.832,POINT (-107.831819 48.999829)
Madawaska,Maine,109,US-Canada Border,11-2016,Buses,6,47.36,-68.329,POINT (-68.328684 47.360052)
Alcan,Alaska,3104,US-Canada Border,10-2016,Personal Vehicles,1737,62.615,-141.001,POINT (-141.001444 62.614961)
Roma,Texas,2310,US-Mexico Border,04-2018,Pedestrians,20944,26.404,-99.019,POINT (-99.018981 26.403928)
Warroad,Minnesota,3423,US-Canada Border,12-2016,Trains,311,48.999,-95.377,POINT (-95.376555 48.999)
Richford,Vermont,203,US-Canada Border,05-2017,Trucks,427,45.012,-72.589,POINT (-72.588559 45.01174)
Turner,Montana,3306,US-Canada Border,03-2017,Trucks,146,49.0,-108.388,POINT (-108.387916 48.999527)
Dalton Cache,Alaska,3106,US-Canada Border,04-2018,Trucks,107,59.451,-136.362,POINT (-136.361944 59.450556)
Roma,Texas,2310,US-Mexico Border,08-2016,Pedestrians,19647,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,04-2016,Train Passengers,0,26.404,-99.019,POINT (-99.018981 26.403928)
Del Bonita,Montana,3322,US-Canada Border,02-2019,Trucks,34,48.999,-112.788,POINT (-112.78825 48.998555)
Eagle Pass,Texas,2303,US-Mexico Border,06-2017,Trains,288,28.705,-100.512,POINT (-100.511977 28.705483)
Madawaska,Maine,109,US-Canada Border,11-2017,Trucks,210,47.36,-68.329,POINT (-68.328684 47.360052)
Alcan,Alaska,3104,US-Canada Border,05-2015,Trucks,753,62.615,-141.001,POINT (-141.001444 62.614961)
Roma,Texas,2310,US-Mexico Border,08-2014,Bus Passengers,1016,26.404,-99.019,POINT (-99.018981 26.403928)
Turner,Montana,3306,US-Canada Border,02-2015,Trains,0,49.0,-108.388,POINT (-108.387916 48.999527)
Alcan,Alaska,3104,US-Canada Border,09-2015,Trucks,557,62.615,-141.001,POINT (-141.001444 62.614961)
Alcan,Alaska,3104,US-Canada Border,03-2016,Buses,0,62.615,-141.001,POINT (-141.001444 62.614961)
Scobey,Montana,3309,US-Canada Border,02-2015,Trucks,147,49.0,-105.408,POINT (-105.407638 48.999527)
Houlton,Maine,106,US-Canada Border,06-2014,Buses,13,46.135,-67.781,POINT (-67.781288 46.134879)
Turner,Montana,3306,US-Canada Border,10-2014,Pedestrians,0,49.0,-108.388,POINT (-108.387916 48.999527)
Otay Mesa,California,2506,US-Mexico Border,10-2015,Trains,20,32.55,-116.939,POINT (-116.938538 32.55033)
Richford,Vermont,203,US-Canada Border,08-2014,Trains,11,45.012,-72.589,POINT (-72.588559 45.01174)
Del Rio,Texas,2302,US-Mexico Border,05-2015,Trucks,5564,29.327,-100.928,POINT (-100.927612 29.326784)
Roma,Texas,2310,US-Mexico Border,09-2015,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Warroad,Minnesota,3423,US-Canada Border,11-2014,Buses,49,48.999,-95.377,POINT (-95.376555 48.999)
Pinecreek,Minnesota,3425,US-Canada Border,07-2016,Trucks,50,49.0,-95.978,POINT (-95.977694 48.999916)
Del Rio,Texas,2302,US-Mexico Border,03-2015,Buses,0,29.327,-100.928,POINT (-100.927612 29.326784)
Tornillo,Texas,2404,US-Mexico Border,04-2016,Trains,0,31.435,-106.143,POINT (-106.142669 31.435334)
Warroad,Minnesota,3423,US-Canada Border,09-2014,Buses,54,48.999,-95.377,POINT (-95.376555 48.999)
Turner,Montana,3306,US-Canada Border,09-2014,Trains,0,49.0,-108.388,POINT (-108.387916 48.999527)
Dalton Cache,Alaska,3106,US-Canada Border,04-2015,Trucks,1,59.451,-136.362,POINT (-136.361944 59.450556)
Roma,Texas,2310,US-Mexico Border,07-2014,Bus Passengers,1118,26.404,-99.019,POINT (-99.018981 26.403928)
Wildhorse,Montana,3323,US-Canada Border,11-2014,Pedestrians,0,48.999,-110.215,POINT (-110.215083 48.999361)
Progreso,Texas,2309,US-Mexico Border,08-2014,Buses,0,26.062,-97.95,POINT (-97.949958 26.062133)
Turner,Montana,3306,US-Canada Border,07-2015,Trucks,140,49.0,-108.388,POINT (-108.387916 48.999527)
Fort Kent,Maine,110,US-Canada Border,12-2015,Buses,0,47.249,-68.604,POINT (-68.603918 47.249206)
Roma,Texas,2310,US-Mexico Border,05-2015,Trucks,694,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,09-2014,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Calais,Maine,115,US-Canada Border,10-2015,Trucks,5741,45.189,-67.275,POINT (-67.275381 45.188548)
Eagle Pass,Texas,2303,US-Mexico Border,03-2015,Buses,81,28.705,-100.512,POINT (-100.511977 28.705483)
Turner,Montana,3306,US-Canada Border,08-2015,Trucks,60,49.0,-108.388,POINT (-108.387916 48.999527)
Roosville,Montana,3318,US-Canada Border,08-2017,Trucks,935,49.0,-115.056,POINT (-115.056027 48.999638)
Turner,Montana,3306,US-Canada Border,02-2016,Train Passengers,0,49.0,-108.388,POINT (-108.387916 48.999527)
Alcan,Alaska,3104,US-Canada Border,06-2014,Trains,0,62.615,-141.001,POINT (-141.001444 62.614961)
Raymond,Montana,3301,US-Canada Border,10-2014,Buses,0,48.999,-104.574,POINT (-104.574333 48.999194)
Calais,Maine,115,US-Canada Border,11-2015,Buses,23,45.189,-67.275,POINT (-67.275381 45.188548)
Skagway,Alaska,3103,US-Canada Border,12-2015,Trains,0,59.63,-135.164,POINT (-135.164444 59.629722)
Roma,Texas,2310,US-Mexico Border,04-2016,Pedestrians,21241,26.404,-99.019,POINT (-99.018981 26.403928)
Dalton Cache,Alaska,3106,US-Canada Border,05-2015,Trains,0,59.451,-136.362,POINT (-136.361944 59.450556)
Wildhorse,Montana,3323,US-Canada Border,12-2014,Trucks,184,48.999,-110.215,POINT (-110.215083 48.999361)
Del Rio,Texas,2302,US-Mexico Border,08-2015,Trains,0,29.327,-100.928,POINT (-100.927612 29.326784)
Roma,Texas,2310,US-Mexico Border,09-2014,Trucks,627,26.404,-99.019,POINT (-99.018981 26.403928)
Roma,Texas,2310,US-Mexico Border,05-2015,Buses,62,26.404,-99.019,POINT (-99.018981 26.403928)
Ketchikan,Alaska,3102,US-Canada Border,07-2014,Trains,0,55.342,-131.648,POINT (-131.647804 55.34208)
Laredo,Texas,2304,US-Mexico Border,05-2013,Trucks,158405,27.5,-99.507,POINT (-99.507412 27.499561)
Tornillo,Texas,2404,US-Mexico Border,01-2013,Buses,0,31.435,-106.143,POINT (-106.142669 31.435334)
San Luis,Arizona,2608,US-Mexico Border,03-2013,Buses,0,32.485,-114.782,POINT (-114.7822222 32.485)
Limestone,Maine,118,US-Canada Border,11-2012,Buses,0,46.925,-67.79,POINT (-67.789597 46.924555)
Scobey,Montana,3309,US-Canada Border,05-2013,Trains,0,49.0,-105.408,POINT (-105.407638 48.999527)
Del Rio,Texas,2302,US-Mexico Border,02-2013,Trains,0,29.327,-100.928,POINT (-100.927612 29.326784)
Douglas,Arizona,2601,US-Mexico Border,01-2013,Trucks,2837,31.334,-109.56,POINT (-109.560344 31.334043)
Eagle Pass,Texas,2303,US-Mexico Border,09-2013,Trains,219,28.705,-100.512,POINT (-100.511977 28.705483)
Alcan,Alaska,3104,US-Canada Border,07-2012,Buses,124,62.615,-141.001,POINT (-141.001444 62.614961)
Alcan,Alaska,3104,US-Canada Border,09-2012,Buses,15,62.615,-141.001,POINT (-141.001444 62.614961)
Madawaska,Maine,109,US-Canada Border,08-2012,Trucks,2393,47.36,-68.329,POINT (-68.328684 47.360052)
Fortuna,North Dakota,3417,US-Canada Border,07-2012,Pedestrians,0,49.0,-103.809,POINT (-103.80925 48.999555)
St John,North Dakota,3405,US-Canada Border,09-2012,Buses,4,48.999,-99.659,POINT (-99.659111 48.999277)
Del Rio,Texas,2302,US-Mexico Border,04-2014,Pedestrians,8622,29.327,-100.928,POINT (-100.927612 29.326784)
Warroad,Minnesota,3423,US-Canada Border,09-2012,Trucks,873,48.999,-95.377,POINT (-95.376555 48.999)
Morgan,Montana,3319,US-Canada Border,10-2012,Buses,1,49.0,-107.832,POINT (-107.831819 48.999829)
Warroad,Minnesota,3423,US-Canada Border,11-2012,Buses,35,48.999,-95.377,POINT (-95.376555 48.999)
Warroad,Minnesota,3423,US-Canada Border,12-2012,Trucks,818,48.999,-95.377,POINT (-95.376555 48.999)
Laredo,Texas,2304,US-Mexico Border,08-2012,Buses,3537,27.5,-99.507,POINT (-99.507412 27.499561)
Roma,Texas,2310,US-Mexico Border,03-2013,Pedestrians,26516,26.404,-99.019,POINT (-99.018981 26.403928)
Dalton Cache,Alaska,3106,US-Canada Border,04-2013,Pedestrians,0,59.451,-136.362,POINT (-136.361944 59.450556)
Norton,Vermont,211,US-Canada Border,06-2013,Trains,17,45.011,-71.793,POINT (-71.793219 45.010771)
St John,North Dakota,3405,US-Canada Border,12-2013,Trains,0,48.999,-99.659,POINT (-99.659111 48.999277)
Turner,Montana,3306,US-Canada Border,01-2013,Buses,3,49.0,-108.388,POINT (-108.387916 48.999527)
Turner,Montana,3306,US-Canada Border,11-2012,Pedestrians,0,49.0,-108.388,POINT (-108.387916 48.999527)
Del Rio,Texas,2302,US-Mexico Border,10-2013,Trains,0,29.327,-100.928,POINT (-100.927612 29.326784)
Sherwood,North Dakota,3414,US-Canada Border,01-2013,Trucks,351,48.999,-101.628,POINT (-101.627527 48.999305)
Lancaster,Minnesota,3430,US-Canada Border,01-2014,Trucks,489,49.0,-96.801,POINT (-96.800527 49.000194)
Alcan,Alaska,3104,US-Canada Border,12-2012,Pedestrians,0,62.615,-141.001,POINT (-141.001444 62.614961)
Beecher Falls,Vermont,206,US-Canada Border,06-2013,Trucks,607,45.013,-71.505,POINT (-71.505309 45.013411)
Tornillo,Texas,2404,US-Mexico Border,03-2014,Trucks,0,31.435,-106.143,POINT (-106.142669 31.435334)
Wildhorse,Montana,3323,US-Canada Border,10-2012,Trucks,146,48.999,-110.215,POINT (-110.215083 48.999361)
Eastport,Idaho,3302,US-Canada Border,04-2013,Trucks,5738,49.001,-116.181,POINT (-116.181027 49.000555)
Nighthawk,Washington,3011,US-Canada Border,07-2012,Pedestrians,0,49.0,-119.671,POINT (-119.67103 49.000144)
Houlton,Maine,106,US-Canada Border,11-2013,Trucks,7586,46.135,-67.781,POINT (-67.781288 46.134879)
Jackman,Maine,104,US-Canada Border,07-2013,Trucks,7257,45.806,-70.397,POINT (-70.396722 45.805661)
Laredo,Texas,2304,US-Mexico Border,08-2013,Trains,320,27.5,-99.507,POINT (-99.507412 27.499561)
Dalton Cache,Alaska,3106,US-Canada Border,07-2015,Trains,0,59.451,-136.362,POINT (-136.361944 59.450556)
Brownsville,Texas,2301,US-Mexico Border,04-2014,Buses,627,25.952,-97.401,POINT (-97.40067 25.95155)
Scobey,Montana,3309,US-Canada Border,10-2013,Buses,0,49.0,-105.408,POINT (-105.407638 48.999527)
Wildhorse,Montana,3323,US-Canada Border,07-2013,Personal Vehicles,2515,48.999,-110.215,POINT (-110.215083 48.999361)
Eastport,Idaho,3302,US-Canada Border,07-2012,Trucks,5612,49.001,-116.181,POINT (-116.181027 49.000555)
Wildhorse,Montana,3323,US-Canada Border,09-2012,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Naco,Arizona,2603,US-Mexico Border,05-2013,Buses,1,31.334,-109.948,POINT (-109.948413 31.334084)
Wildhorse,Montana,3323,US-Canada Border,03-2012,Trucks,173,48.999,-110.215,POINT (-110.215083 48.999361)
Roma,Texas,2310,US-Mexico Border,01-2012,Train Passengers,0,26.404,-99.019,POINT (-99.018981 26.403928)
Turner,Montana,3306,US-Canada Border,08-2010,Buses,0,49.0,-108.388,POINT (-108.387916 48.999527)
Beecher Falls,Vermont,206,US-Canada Border,02-2012,Buses,1,45.013,-71.505,POINT (-71.505309 45.013411)
Morgan,Montana,3319,US-Canada Border,03-2011,Bus Passengers,0,49.0,-107.832,POINT (-107.831819 48.999829)
Roma,Texas,2310,US-Mexico Border,03-2012,Trains,0,26.404,-99.019,POINT (-99.018981 26.403928)
Alcan,Alaska,3104,US-Canada Border,02-2011,Trains,0,62.615,-141.001,POINT (-141.001444 62.614961)
Columbus,New Mexico,2406,US-Mexico Border,06-2012,Trains,0,31.784,-107.628,POINT (-107.627948 31.783742)
Calais,Maine,115,US-Canada Border,10-2010,Trucks,6458,45.189,-67.275,POINT (-67.275381 45.188548)
Raymond,Montana,3301,US-Canada Border,10-2011,Buses,2,48.999,-104.574,POINT (-104.574333 48.999194)
Houlton,Maine,106,US-Canada Border,07-2011,Trucks,6848,46.135,-67.781,POINT (-67.781288 46.134879)
Fortuna,North Dakota,3417,US-Canada Border,09-2011,Trucks,98,49.0,-103.809,POINT (-103.80925 48.999555)
Wildhorse,Montana,3323,US-Canada Border,09-2010,Pedestrians,0,48.999,-110.215,POINT (-110.215083 48.999361)
Whitlash,Montana,3321,US-Canada Border,04-2012,Trains,0,48.997,-111.258,POINT (-111.257916 48.99725)
Warroad,Minnesota,3423,US-Canada Border,06-2011,Buses,12,48.999,-95.377,POINT (-95.376555 48.999)
Scobey,Montana,3309,US-Canada Border,04-2011,Trains,0,49.0,-105.408,POINT (-105.407638 48.999527)
Wildhorse,Montana,3323,US-Canada Border,03-2011,Pedestrians,0,48.999,-110.215,POINT (-110.215083 48.999361)
Van Buren,Maine,108,US-Canada Border,11-2011,Trucks,1261,47.16,-67.931,POINT (-67.930799 47.159645)
Alcan,Alaska,3104,US-Canada Border,01-2012,Trucks,66,62.615,-141.001,POINT (-141.001444 62.614961)
Wildhorse,Montana,3323,US-Canada Border,08-2010,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Wildhorse,Montana,3323,US-Canada Border,01-2011,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Alcan,Alaska,3104,US-Canada Border,03-2012,Buses,10,62.615,-141.001,POINT (-141.001444 62.614961)
Skagway,Alaska,3103,US-Canada Border,11-2010,Trucks,111,59.63,-135.164,POINT (-135.164444 59.629722)
Roma,Texas,2310,US-Mexico Border,04-2011,Trucks,573,26.404,-99.019,POINT (-99.018981 26.403928)
Calais,Maine,115,US-Canada Border,08-2011,Buses,50,45.189,-67.275,POINT (-67.275381 45.188548)
Wildhorse,Montana,3323,US-Canada Border,07-2011,Trains,0,48.999,-110.215,POINT (-110.215083 48.999361)
Warroad,Minnesota,3423,US-Canada Border,08-2010,Bus Passengers,526,48.999,-95.377,POINT (-95.376555 48.999)
Del Rio,Texas,2302,US-Mexico Border,06-2011,Trucks,5467,29.327,-100.928,POINT (-100.927612 29.326784)
Scobey,Montana,3309,US-Canada Border,03-2011,Buses,0,49.0,-105.408,POINT (-105.407638 48.999527)
Scobey,Montana,3309,US-Canada Border,09-2010,Buses,0,49.0,-105.408,POINT (-105.407638 48.999527)
Del Rio,Texas,2302,US-Mexico Border,03-2012,Trucks,5703,29.327,-100.928,POINT (-100.927612 29.326784)
Neche,North Dakota,3404,US-Canada Border,05-2012,Buses,0,49.001,-97.557,POINT (-97.557333 49.000527)
Del Bonita,Montana,3322,US-Canada Border,01-2012,Buses,0,48.999,-112.788,POINT (-112.78825 48.998555)
Wildhorse,Montana,3323,US-Canada Border,04-2012,Buses,1,48.999,-110.215,POINT (-110.215083 48.999361)
Roma,Texas,2310,US-Mexico Border,10-2011,Train Passengers,0,26.404,-99.019,POINT (-99.018981 26.403928)
Warroad,Minnesota,3423,US-Canada Border,01-2010,Trucks,1084,48.999,-95.377,POINT (-95.376555 48.999)
Bar Harbor,Maine,112,US-Canada Border,03-2009,Trains,0,44.4,-68.225,POINT (-68.224722 44.399722)
Morgan,Montana,3319,US-Canada Border,08-2010,Trains,0,49.0,-107.832,POINT (-107.831819 48.999829)
Limestone,Maine,118,US-Canada Border,07-2009,Buses,0,46.925,-67.79,POINT (-67.789597 46.924555)
Roma,Texas,2310,US-Mexico Border,02-2010,Trucks,508,26.404,-99.019,POINT (-99.018981 26.403928)
Limestone,Maine,118,US-Canada Border,11-2008,Trains,0,46.925,-67.79,POINT (-67.789597 46.924555)
